enrollment,graderange,parentrating,school_type
1008.3684210526316,['K-5' '6-8' '9-12' 'K-8' '6-12'],3.9473684210526314,['public' 'charter']
853.0,['9-12' 'K-8'],4.666666666666667,['public' 'charter']
1116.2857142857142,['K-5' '9-12' '6-8'],4.571428571428571,['public']
712.0,['K-6' '7-8' 'K-8' '9-12' 'K-5'],4.444444444444445,['public' 'charter']
337.0,['K-6'],5.0,['public']
621.7183098591549,['9-12' '6-12' 'K-6' 'K-8' 'K-5' '6-8' '9-11' 'K-7'],3.943661971830986,['public' 'charter']
1037.75,['K-6' '7-8'],3.25,['public']
695.5555555555555,['K-5' 'PK-5' '9-12' '6-8'],4.0,['public']
159.5,['K-6' '7-12'],4.5,['public']
855.5882352941177,['6-8' 'K-6' '7-8' 'K-5' '9-12'],3.4705882352941178,['public']
765.2083333333334,['K-6' 'K-8' '7-8' '9-12'],4.25,['public' 'charter']
467.75,['K-5' '6-12'],4.25,['public']
394.0,['K-5' '9-12' '6-8'],3.0,['public']
1300.0,['K-5' '9-12'],4.666666666666667,['public']
864.3125,['K-8' '9-12'],3.625,['public']
156.0,['K-5'],5.0,['public']
481.8,['K-5' '6-8' '9-12'],3.0,['public']
386.0,['K-8'],4.0,['public']
576.6,['K-5' '6-8'],4.4,['public']
428.0833333333333,['6-8' 'K-12' 'K-5' 'K-6' '7-12' '9-12' 'K-8'],3.8333333333333335,['public' 'charter']
781.6,['K-5' '9-12'],4.2,['public']
851.0,['K-5' '9-12' '6-8'],3.25,['public']
335.0,['K-3'],5.0,['public']
1079.090909090909,['6-8' 'K-5' '9-12' 'K-12'],4.0,['public' 'charter']
711.1666666666666,['K-8' '6-8' '4-8' 'K-5'],3.5,['public']
809.1333333333333,['K-6' 'K-5' '9-12' '7-8' 'K-8' '6-12' '6-8'],4.133333333333334,['public' 'charter']
651.5714285714286,['K-5' '6-8' 'PK-5' '9-12'],4.571428571428571,['public']
672.0,['K-5' '9-12' '6-8'],4.2,['public']
837.4166666666666,['K-6' '9-12' '7-8'],4.083333333333333,['public']
832.7647058823529,['9-12' '6-8' 'K-5' 'K-6' '7-8' 'K-8'],4.117647058823529,['public' 'charter']
696.5,['K-6' 'K-5' '6-8' '7-8' '9-12' 'K-8' 'K-12' 'PK-5'],3.9285714285714284,['public' 'charter']
709.125,['K-5' '6-8' '9-12'],4.0,['public']
168.5,['K-8'],4.0,['public']
1022.125,['PK-6' '9-12' '7-8'],3.625,['public']
1293.6,['6-8' 'K-5' '9-12'],3.8,['public']
541.8,['K-8' 'K-5' 'PK-5' '9-12'],3.6,['charter' 'public']
751.375,['K-5' 'K-8' 'K-6' '6-8'],4.0,['public']
627.875,['PK-5' 'K-8' '7-12' '6-8' '9-12' 'K-5' '11-12'],4.625,['public' 'charter']
685.25,['9-12' 'K-5' '6-8'],4.0,['public']
1025.1538461538462,['K-5' '6-8' '9-12' 'K-6' 'K-12'],3.7948717948717947,['public']
686.7,['9-12' 'K-6' 'K-8' 'PK-6' '6-12'],3.8,['public' 'charter']
867.0,['9-12'],4.0,['public']
279.3333333333333,['K-3' '9-12' '2-8'],3.6666666666666665,['public']
708.2,['K-5' '6-8' '9-12' 'K-6'],4.2,['public']
1199.842105263158,['K-5' '6-8' 'K-7' '9-12' 'K-6'],4.0,['public']
598.5,['PK-8' 'K-5'],4.5,['public']
597.5217391304348,['K-5' '6-8' '9-12' 'K-6' 'PK-5' 'K-8'],4.173913043478261,['public' 'charter']
948.7142857142857,['K-6' '7-9' 'K-8' '7-8' '9-12'],3.857142857142857,['public' 'charter']
217.0,['9-12'],5.0,['public']
375.75,['K-4' 'K-8' '5-8'],4.0,['public' 'charter']
