CA - All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Decreasing values (%),,,,Sold for loss (%),,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Increasing values (%),,,,Sold for gain (%),,,,Foreclosure re-sales (%),,,,Sold in past year (%),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Arcata,city,All Homes,"$321,100",0.7%,3.9%,4.3%,6.7%,1.0%,13.5%,--2.6%,--1.7%,--3.3%,---,---,---,---,---,---,---,---,$248,0.8%,2.9%,7.8%,---,---,---,---,---,---,---,---,---,---,---,---,82.2%,2.2%,2.7%,3.1%,---,---,---,---,---,---,---,---,3.2%,0.9%,--0.9%,0.0%,---,---,---,---,---,---,---,---,---,---,---,---,1.576,---,---,---,"$1,467",3.5%,4.9%,--12.3%,$0.96,2.4%,3.2%,--15.4%
Arden-Arcade,city,All Homes,"$361,600",0.3%,2.6%,8.1%,9.6%,2.9%,14.0%,3.8%,0.3%,5.6%,---,---,---,---,13.9%,--2.0%,5.3%,3.7%,$240,0.0%,1.7%,10.1%,2.6%,0.5%,0.4%,--0.8%,"$385,000",--3.7%,2.7%,7.0%,"$345,900",4.3%,7.1%,13.9%,80.0%,--5.9%,--1.0%,--7.3%,---,---,---,---,2.8%,--1.6%,--1.2%,--3.5%,5.1%,--1.3%,--2.8%,--15.3%,$246,--3.1%,2.4%,6.6%,"$1,450",3.9%,7.4%,12.0%,$1.31,--3.7%,--2.5%,12.2%,0.356,--0.5%,--1.5%,--0.8%,"$1,743",0.2%,0.7%,5.9%,$1.30,0.2%,0.5%,6.5%
Arroyo Grande,city,All Homes,"$667,400",0.4%,1.2%,3.7%,7.3%,1.8%,15.2%,--1.9%,--2.3%,--3.8%,---,---,---,---,10.9%,--2.7%,0.8%,--5.1%,$360,0.3%,0.6%,4.3%,2.8%,0.7%,0.7%,0.5%,"$749,000",2.7%,--1.3%,--1.3%,---,---,---,---,77.3%,3.5%,3.7%,7.5%,---,---,---,---,---,---,---,---,3.7%,--2.1%,0.0%,--13.8%,$356,0.9%,--0.1%,2.7%,---,---,---,---,---,---,---,---,1.051,--0.6%,---,---,---,---,---,---,---,---,---,---
Artesia,city,All Homes,"$572,100",0.6%,2.6%,6.8%,9.2%,2.0%,7.4%,--0.3%,2.7%,3.0%,---,---,---,---,---,---,---,---,$405,0.5%,1.5%,6.3%,---,---,---,---,---,---,---,---,---,---,---,---,88.2%,0.6%,--3.8%,--5.6%,---,---,---,---,---,---,---,---,3.3%,--1.8%,--1.8%,2.9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,514",0.3%,1.0%,3.7%,$1.86,0.3%,0.8%,3.6%
Arvin,city,All Homes,"$163,800",1.1%,2.3%,6.5%,10.8%,--0.3%,46.4%,--0.2%,6.7%,39.8%,---,---,---,---,---,---,---,---,$122,0.8%,2.5%,5.2%,---,---,---,---,---,---,---,---,---,---,---,---,46.1%,0.2%,--4.8%,--43.3%,---,---,---,---,---,---,---,---,2.0%,5.3%,11.1%,--17.8%,---,---,---,---,---,---,---,---,---,---,---,---,2.15,---,---,--3.0%,"$1,158",--0.4%,--1.3%,1.1%,$0.94,0.0%,0.2%,1.3%
Atascadero,city,All Homes,"$513,600",0.3%,1.4%,7.2%,8.0%,1.8%,7.9%,--2.4%,--5.0%,--0.4%,---,---,---,---,12.9%,--3.3%,4.4%,0.5%,$306,0.7%,1.7%,7.4%,2.1%,--1.0%,--1.3%,0.0%,"$575,000",--2.5%,0.0%,19.4%,---,---,---,---,87.4%,4.2%,8.1%,1.8%,---,---,---,---,5.4%,0.5%,0.2%,0.4%,4.2%,--1.0%,--2.2%,--6.5%,$305,1.2%,0.5%,4.5%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,367",0.0%,1.4%,2.4%,$1.40,--0.1%,0.0%,2.8%
Atherton,city,All Homes,"$6,935,300",1.2%,4.4%,17.3%,11.9%,7.4%,3.6%,--1.4%,--2.7%,--17.4%,---,---,---,---,---,---,---,---,"$1,868",0.9%,3.5%,13.6%,---,---,---,---,---,---,---,---,---,---,---,---,95.0%,2.0%,3.2%,25.7%,---,---,---,---,---,---,---,---,3.1%,--2.5%,21.9%,--8.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$17,201",--0.3%,--1.0%,0.7%,$4.81,0.0%,--0.2%,2.6%
Atwater,city,All Homes,"$256,100",0.7%,2.9%,12.6%,13.5%,3.3%,1.5%,0.2%,0.3%,--0.6%,---,---,---,---,8.5%,--2.3%,1.7%,--3.5%,$164,0.6%,3.1%,14.7%,---,---,---,---,"$290,600",--0.8%,1.1%,15.1%,---,---,---,---,98.0%,--0.1%,--0.4%,1.7%,---,---,---,---,---,---,---,---,2.9%,--13.6%,--32.4%,--41.6%,$162,3.0%,4.8%,8.0%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,293",0.3%,0.8%,5.8%,$0.87,0.2%,0.7%,7.4%
Auburn,city,All Homes,"$447,400",1.0%,2.8%,8.3%,9.0%,1.8%,15.2%,--5.6%,1.0%,7.6%,---,---,---,---,12.6%,0.7%,0.3%,--2.6%,$248,1.2%,2.9%,8.8%,2.7%,--0.5%,--0.2%,0.2%,"$530,000",0.6%,10.9%,2.6%,---,---,---,---,78.0%,7.9%,--0.8%,--10.0%,---,---,---,---,1.8%,--1.3%,--1.5%,--1.6%,5.0%,--3.7%,--5.6%,--10.9%,$255,3.8%,0.2%,9.0%,---,---,---,---,---,---,---,---,0.65,--0.4%,---,--0.1%,"$2,070",0.8%,1.8%,7.9%,$1.18,0.5%,1.6%,7.7%
Avenal,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,$96,--2.0%,--5.0%,2.1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2.2%,13.8%,17.9%,6.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,$979,0.5%,1.7%,--6.8%,$0.85,--0.2%,--0.7%,--3.8%
Avocado Heights,city,All Homes,"$558,500",0.6%,2.7%,12.0%,9.9%,2.4%,3.8%,---,--2.1%,--1.4%,---,---,---,---,---,---,---,---,$371,0.5%,2.5%,11.1%,---,---,---,---,---,---,---,---,---,---,---,---,91.1%,--0.2%,1.9%,--0.2%,---,---,---,---,---,---,---,---,2.7%,0.0%,--8.9%,--5.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,449",0.3%,1.0%,3.9%,$1.69,0.4%,1.0%,4.2%
Azusa,city,All Homes,"$453,400",0.6%,2.1%,8.8%,8.8%,1.5%,4.4%,--0.7%,--0.3%,0.2%,---,---,---,---,13.7%,5.2%,7.3%,4.1%,$357,0.6%,2.0%,9.8%,---,---,---,---,"$485,000",--0.8%,2.0%,7.8%,"$449,500",5.8%,7.0%,6.5%,92.5%,1.7%,1.7%,1.5%,---,---,---,---,1.5%,--2.2%,--6.1%,--0.1%,3.6%,--0.7%,0.3%,--10.2%,$315,--1.6%,3.1%,4.3%,"$2,500",5.0%,7.5%,8.7%,$1.62,0.0%,--1.4%,3.0%,0.614,--0.0%,--1.1%,--0.1%,"$2,241",0.0%,--0.1%,1.5%,$1.84,0.1%,0.2%,2.9%
Bakersfield,city,All Homes,"$234,000",0.7%,2.5%,6.0%,7.0%,0.6%,15.5%,--1.5%,--4.0%,--0.5%,---,---,---,---,17.7%,4.5%,5.5%,1.2%,$136,0.7%,2.3%,6.3%,2.2%,0.1%,--0.1%,--0.2%,"$268,000",0.1%,3.5%,5.2%,"$239,300",--0.3%,3.4%,5.6%,75.2%,2.3%,6.7%,8.5%,---,---,---,---,5.9%,0.4%,--0.4%,--2.6%,5.1%,--1.1%,--1.9%,--12.4%,$141,0.6%,2.9%,5.2%,"$1,430",0.0%,0.0%,1.8%,$0.92,1.3%,2.0%,5.0%,2.438,--0.6%,--0.4%,0.5%,"$1,401",0.1%,0.9%,2.8%,$0.87,0.0%,0.5%,1.9%
Baldwin Park,city,All Homes,"$451,300",0.4%,1.8%,7.9%,9.6%,1.8%,5.7%,--1.6%,1.6%,2.2%,---,---,---,---,5.1%,--0.9%,0.7%,--1.1%,$355,0.6%,2.0%,9.6%,---,---,---,---,"$439,000",--0.8%,--0.2%,4.5%,"$452,300",0.5%,15.4%,15.9%,88.6%,2.9%,--1.5%,--5.4%,---,---,---,---,6.6%,--3.5%,--0.1%,--1.4%,2.2%,--1.4%,--6.5%,--30.7%,$336,0.2%,--0.8%,9.2%,---,---,---,---,---,---,---,---,0.828,---,0.4%,--0.8%,"$2,220",0.2%,0.0%,3.4%,$1.82,0.3%,0.7%,5.0%
Banning,city,All Homes,"$255,300",0.6%,2.2%,13.1%,13.0%,1.5%,5.8%,0.3%,--3.2%,--1.0%,---,---,---,---,12.2%,--2.9%,5.8%,3.9%,$177,0.6%,2.3%,12.0%,1.8%,--0.6%,--1.7%,--1.6%,"$267,300",3.2%,3.2%,11.4%,---,---,---,---,90.7%,--0.1%,5.6%,0.8%,---,---,---,---,9.2%,--2.3%,1.5%,2.7%,5.2%,--1.6%,--2.2%,--14.8%,$194,1.8%,2.6%,12.2%,---,---,---,---,---,---,---,---,2.359,--0.0%,--1.1%,--2.2%,"$1,503",--0.1%,0.1%,5.0%,$1.09,0.4%,0.9%,5.2%
Barstow,city,All Homes,"$125,900",1.1%,3.4%,10.6%,11.0%,--1.4%,19.7%,--2.0%,--8.0%,12.1%,---,---,---,---,14.9%,3.7%,6.2%,--1.3%,$94,1.1%,4.4%,16.0%,4.0%,--0.7%,--0.5%,0.8%,"$133,500",--1.0%,1.9%,3.2%,---,---,---,---,75.0%,2.1%,8.3%,--13.4%,---,---,---,---,18.4%,--1.8%,9.4%,--2.9%,4.5%,0.5%,--6.1%,--6.4%,$103,0.0%,--3.3%,5.2%,---,---,---,---,---,---,---,---,7.016,1.9%,1.9%,--1.8%,$987,0.9%,2.8%,6.1%,$0.80,1.0%,2.8%,7.2%
