CA - All Homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statistic,,,Zillow Home Value Index,,,,,,Decreasing values (%),,,,Sold for loss (%),,,,Listings with price cut (%),,,,Median value per sq. ft. ($),,,,Median price cut (%),,,,Median list price ($),,,,Median sale price ($),,,,Increasing values (%),,,,Sold for gain (%),,,,Foreclosure re-sales (%),,,,Sold in past year (%),,,,Median list price / sq. ft. ($),,,,Median rent list price ($),,,,Median rent list price / sq. ft. ($),,,,Homes foreclosed,,,,Zillow Rent Index,,,,Rent estimate / sq. ft. ($),,,
Region Name,Region Type,Type,Current,Month Over Month,Quarter Over Quarter,Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Marysville,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,6.8%,--5.8%,--4.6%,5.1%,---,---,---,---,---,---,---,---,"$270,000",--3.9%,--0.0%,3.9%,---,---,---,---,---,---,---,---,---,---,---,---,8.3%,1.5%,--2.3%,3.8%,5.1%,--7.6%,--4.8%,--15.6%,$162,0.8%,1.4%,6.1%,---,---,---,---,---,---,---,---,3.449,--1.0%,--1.3%,1.0%,"$1,300",--0.5%,--1.7%,--1.0%,$0.92,0.7%,1.5%,5.0%
Maywood,city,All Homes,"$414,500",0.3%,1.7%,11.1%,10.5%,0.6%,6.6%,--1.0%,0.4%,1.6%,---,---,---,---,---,---,---,---,$335,0.0%,1.2%,8.4%,---,---,---,---,---,---,---,---,---,---,---,---,84.6%,1.3%,--3.0%,0.3%,---,---,---,---,---,---,---,---,0.6%,0.0%,--9.1%,--61.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,291",0.1%,0.0%,3.6%,$2.13,0.0%,0.1%,4.4%
Mc Farland,city,All Homes,"$202,700",1.0%,4.6%,21.5%,12.7%,1.8%,16.4%,--0.8%,4.4%,1.2%,---,---,---,---,---,---,---,---,$146,--0.7%,--1.4%,9.8%,---,---,---,---,---,---,---,---,---,---,---,---,77.4%,4.1%,--3.3%,8.4%,---,---,---,---,---,---,---,---,1.1%,--7.1%,0.0%,--42.2%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,154",0.1%,0.3%,0.5%,$0.98,0.4%,1.2%,2.7%
McKinleyville,city,All Homes,"$312,500",0.5%,2.1%,4.5%,6.2%,1.3%,20.9%,2.5%,0.9%,6.7%,---,---,---,---,---,---,---,---,$224,0.9%,1.8%,3.7%,---,---,---,---,---,---,---,---,---,---,---,---,72.8%,--2.8%,--0.2%,--8.3%,---,---,---,---,---,---,---,---,3.4%,--7.7%,--14.4%,--22.7%,---,---,---,---,---,---,---,---,---,---,---,---,1.748,--0.7%,---,---,"$1,470",3.2%,4.3%,--10.6%,$0.91,2.9%,2.7%,--14.7%
Mecca,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.5%,9.1%,33.3%,20.0%,---,---,---,---,---,---,---,---,---,---,---,---,15.317,---,---,---,"$1,395",0.3%,0.1%,13.0%,$1.10,0.4%,1.1%,14.6%
Menifee,city,All Homes,"$358,500",0.5%,2.3%,11.4%,12.0%,2.7%,3.2%,--0.2%,--1.3%,2.0%,---,---,---,---,15.2%,2.8%,6.3%,6.2%,$181,0.6%,1.7%,12.4%,1.9%,0.1%,0.4%,--0.1%,"$370,000",1.4%,0.0%,6.9%,---,---,---,---,95.0%,0.0%,2.1%,--2.0%,---,---,---,---,3.9%,--1.5%,--1.2%,--3.5%,7.0%,0.6%,0.8%,--7.7%,$176,0.5%,4.5%,8.2%,"$1,800",0.0%,--0.2%,1.1%,$0.99,0.2%,2.9%,7.0%,2.962,0.7%,2.1%,1.4%,"$2,023",0.5%,1.2%,5.6%,$0.95,0.4%,1.3%,6.0%
Menlo Park,city,All Homes,"$2,435,100",1.3%,4.8%,19.4%,11.4%,7.6%,5.1%,--2.6%,--4.8%,--37.0%,---,---,---,---,---,---,---,---,"$1,393",1.2%,5.1%,16.4%,---,---,---,---,---,---,---,---,---,---,---,---,93.2%,3.3%,6.0%,44.0%,---,---,---,---,---,---,---,---,3.3%,--2.4%,1.4%,--15.4%,---,---,---,---,"$5,300",0.0%,1.9%,3.4%,$3.72,4.3%,8.8%,6.6%,---,---,---,---,"$5,657",--0.1%,0.2%,--0.5%,$3.56,0.3%,0.8%,2.4%
Mentone,city,All Homes,"$332,700",--0.0%,1.1%,11.8%,12.2%,2.1%,11.8%,1.1%,--2.0%,7.9%,---,---,---,---,---,---,---,---,$202,0.0%,1.0%,7.4%,---,---,---,---,---,---,---,---,---,---,---,---,80.9%,--0.4%,2.8%,--10.5%,---,---,---,---,---,---,---,---,3.6%,--4.5%,--9.6%,--19.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,740",0.6%,2.2%,7.0%,$1.21,0.2%,0.8%,5.9%
Merced,city,All Homes,"$234,800",0.8%,2.7%,13.7%,11.9%,2.9%,2.1%,0.2%,0.5%,--1.6%,---,---,---,---,15.8%,2.2%,9.0%,3.3%,$152,0.7%,3.4%,13.4%,2.7%,--0.1%,--0.4%,--0.6%,"$259,500",3.8%,3.8%,8.4%,---,---,---,---,97.3%,--0.3%,--0.6%,3.6%,---,---,---,---,---,---,---,---,2.9%,--14.3%,--32.6%,--44.6%,$160,1.1%,5.1%,12.9%,"$1,350",0.0%,3.8%,5.9%,$0.88,2.5%,4.7%,10.0%,---,---,---,---,"$1,275",0.4%,0.6%,7.0%,$0.84,0.2%,0.7%,8.2%
Mill Valley,city,All Homes,"$1,509,300",0.7%,2.1%,6.3%,9.0%,2.7%,45.7%,--11.0%,--10.1%,13.9%,---,---,---,---,---,---,---,---,$823,0.9%,2.1%,4.3%,---,---,---,---,"$1,599,000",14.6%,23.1%,---,---,---,---,---,44.7%,10.5%,10.2%,--12.0%,---,---,---,---,---,---,---,---,3.5%,--0.6%,--0.3%,--13.1%,$856,3.1%,9.1%,10.2%,"$5,000",8.7%,11.1%,--5.7%,---,---,---,---,2.18,--1.7%,0.7%,---,"$5,297",--0.5%,--2.6%,--2.3%,$3.00,--0.1%,--0.7%,0.6%
Millbrae,city,All Homes,"$1,768,900",1.0%,4.4%,17.3%,13.2%,6.7%,1.6%,--0.2%,--0.7%,--14.9%,---,---,---,---,---,---,---,---,"$1,010",0.9%,3.8%,14.1%,---,---,---,---,---,---,---,---,---,---,---,---,97.5%,--0.0%,1.0%,25.8%,---,---,---,---,---,---,---,---,2.9%,--1.1%,6.6%,1.1%,---,---,---,---,"$4,000",0.0%,5.3%,--4.8%,---,---,---,---,---,---,---,---,"$4,359",--0.3%,--1.8%,--1.9%,$2.72,--0.2%,--1.2%,0.4%
Milpitas,city,All Homes,"$1,094,500",2.1%,6.8%,22.8%,14.2%,6.1%,0.1%,--0.4%,--0.8%,--5.5%,---,---,---,---,---,---,---,---,$688,1.6%,6.0%,20.3%,---,---,---,---,"$948,000",2.6%,8.8%,11.5%,"$1,055,900",4.8%,9.4%,25.7%,99.8%,0.6%,1.2%,10.8%,---,---,---,---,1.9%,--1.8%,--1.3%,--0.6%,2.9%,--2.2%,--1.2%,--11.2%,$618,1.3%,7.1%,17.4%,"$3,400",3.0%,6.3%,6.3%,$2.18,--1.4%,--6.7%,--4.2%,0.568,0.2%,---,---,"$3,355",0.4%,1.1%,3.4%,$2.23,0.4%,1.4%,3.4%
Mission Viejo,city,All Homes,"$732,100",0.4%,1.7%,6.6%,6.5%,2.8%,4.9%,--3.1%,--6.5%,0.9%,---,---,---,---,15.5%,0.4%,5.1%,3.6%,$395,0.3%,1.8%,7.0%,2.0%,0.2%,0.1%,0.4%,"$725,000",2.1%,3.6%,5.1%,---,---,---,---,88.3%,6.6%,12.9%,1.8%,---,---,---,---,0.8%,--0.8%,--0.9%,--1.5%,4.0%,--0.5%,--1.9%,--13.7%,$391,0.2%,1.0%,5.8%,"$2,800",0.0%,1.8%,--1.8%,$1.81,2.0%,0.0%,1.8%,0.813,0.5%,0.4%,0.4%,"$3,161",0.2%,0.6%,3.0%,$1.87,0.2%,0.6%,3.1%
Modesto,city,All Homes,"$286,900",0.8%,3.6%,11.7%,14.1%,2.9%,3.0%,--0.4%,--1.6%,--0.7%,---,---,---,---,13.4%,3.7%,5.4%,3.6%,$192,0.5%,3.2%,11.6%,2.7%,--0.2%,--0.3%,--0.3%,"$301,000",0.7%,3.8%,10.5%,---,---,---,---,95.5%,0.5%,2.9%,1.6%,---,---,---,---,6.1%,0.1%,--1.7%,--1.1%,5.2%,--0.6%,--0.3%,--3.8%,$194,1.9%,4.7%,11.4%,"$1,450",0.0%,1.8%,3.9%,$1.05,6.3%,6.3%,8.1%,1.109,--0.1%,--0.7%,--0.2%,"$1,408",0.1%,--0.6%,4.3%,$0.98,0.0%,--0.2%,4.9%
Monrovia,city,All Homes,"$684,100",0.3%,1.5%,6.6%,8.1%,3.1%,14.4%,--2.4%,--0.8%,5.9%,---,---,---,---,11.8%,2.9%,4.3%,2.4%,$461,0.4%,1.8%,6.5%,2.7%,0.5%,1.1%,0.0%,"$693,000",--0.7%,2.4%,--0.4%,"$694,300",2.0%,8.7%,5.3%,77.3%,3.2%,1.6%,--5.9%,---,---,---,---,4.6%,3.0%,---,--0.0%,3.6%,2.0%,5.1%,--19.0%,$490,--7.5%,3.3%,11.8%,"$2,500",0.0%,8.7%,4.3%,$2.00,5.3%,4.7%,12.3%,1.049,0.4%,---,---,"$2,615",0.5%,0.8%,2.5%,$1.86,0.5%,0.9%,2.8%
Montclair,city,All Homes,"$419,100",0.6%,1.9%,8.5%,9.8%,2.6%,5.0%,1.9%,--0.8%,2.9%,---,---,---,---,---,---,---,---,$290,0.7%,2.1%,8.2%,---,---,---,---,"$425,000",--0.9%,2.4%,11.4%,"$402,100",2.8%,5.5%,5.6%,87.9%,--3.5%,1.2%,--7.1%,---,---,---,---,---,---,---,---,3.2%,--0.5%,4.5%,1.5%,$284,--1.7%,1.3%,7.8%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,088",0.7%,2.6%,7.7%,$1.50,0.4%,1.8%,7.0%
Montebello,city,All Homes,"$536,000",0.6%,2.0%,8.0%,8.8%,1.3%,4.6%,--1.5%,--0.8%,1.9%,---,---,---,---,12.1%,7.3%,7.1%,--0.2%,$350,0.6%,2.6%,10.4%,---,---,---,---,"$512,500",--2.4%,--4.2%,5.7%,"$542,700",2.8%,19.0%,19.4%,90.7%,1.8%,0.3%,--3.7%,---,---,---,---,2.6%,--1.7%,---,--4.6%,2.2%,0.0%,--11.6%,--26.2%,$345,--0.5%,0.0%,0.0%,---,---,---,---,---,---,---,---,1.835,---,---,0.8%,"$2,451",0.1%,0.5%,1.9%,$1.68,0.2%,0.7%,3.3%
Monterey,city,All Homes,"$771,600",0.8%,2.6%,7.0%,8.1%,2.5%,15.4%,--1.0%,--11.3%,1.6%,---,---,---,---,15.3%,9.0%,5.4%,--0.1%,$495,0.4%,2.1%,7.1%,3.0%,1.1%,--0.7%,--2.3%,"$862,500",--4.1%,--9.1%,3.1%,---,---,---,---,76.4%,1.6%,13.0%,--5.3%,---,---,---,---,4.9%,2.9%,3.4%,1.1%,3.8%,0.4%,1.4%,--4.7%,$538,6.0%,5.1%,11.1%,"$2,800",0.0%,3.7%,19.1%,$2.34,1.3%,8.0%,10.1%,1.271,--1.0%,---,--4.3%,"$2,983",0.3%,1.1%,7.8%,$2.03,0.6%,1.9%,8.7%
Monterey Park,city,All Homes,"$663,200",0.4%,1.8%,9.8%,7.5%,3.4%,6.7%,--1.0%,0.6%,1.7%,---,---,---,---,8.0%,2.5%,4.7%,2.9%,$416,0.5%,2.0%,9.8%,---,---,---,---,"$619,000",--1.6%,--7.3%,3.2%,"$633,600",--0.9%,2.5%,6.9%,89.4%,1.4%,--0.3%,--2.3%,---,---,---,---,---,---,---,---,2.4%,1.9%,--0.3%,--21.2%,$435,2.8%,5.7%,10.4%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,578",0.1%,0.5%,3.1%,$1.75,0.3%,1.0%,4.2%
Moorpark,city,All Homes,"$660,000",0.2%,1.6%,4.8%,7.4%,2.2%,10.7%,3.8%,2.6%,6.3%,---,---,---,---,14.0%,--3.8%,5.2%,4.7%,$321,0.3%,2.2%,5.6%,---,---,---,---,"$739,500",0.0%,1.4%,2.7%,---,---,---,---,76.3%,--8.2%,--4.9%,--13.9%,---,---,---,---,1.3%,--2.1%,--3.6%,--0.9%,4.5%,--3.0%,--2.8%,--17.0%,$317,2.3%,4.6%,5.0%,---,---,---,---,---,---,---,---,1.566,--0.6%,--0.3%,---,"$2,952",0.1%,0.0%,3.8%,$1.52,0.1%,0.3%,3.1%
Moraga,city,All Homes,"$1,348,700",0.9%,2.3%,5.6%,6.4%,4.7%,13.5%,--7.0%,--12.6%,--6.9%,---,---,---,---,---,---,---,---,$619,0.7%,2.0%,8.4%,---,---,---,---,"$1,295,000",0.0%,1.6%,4.4%,"$1,259,900",--2.5%,--8.0%,15.1%,78.5%,10.8%,18.0%,11.7%,---,---,---,---,---,---,---,---,3.7%,1.0%,3.6%,--7.8%,$536,1.7%,0.9%,--7.3%,---,---,---,---,$2.31,1.1%,2.2%,---,---,---,---,---,"$4,537",--0.4%,--0.9%,--1.4%,$2.10,--0.7%,--1.5%,--1.6%
Moreno Valley,city,All Homes,"$315,900",0.5%,2.0%,9.9%,12.1%,1.1%,2.4%,--0.5%,--2.3%,0.8%,---,---,---,---,12.8%,3.5%,5.5%,4.8%,$189,0.5%,2.2%,10.5%,1.9%,--0.1%,--0.0%,--0.1%,"$320,000",0.2%,1.6%,8.5%,---,---,---,---,95.6%,1.2%,5.5%,--1.1%,---,---,---,---,8.8%,1.9%,0.0%,--2.9%,5.2%,0.2%,2.2%,3.4%,$185,--0.6%,1.9%,11.0%,"$1,700",--2.8%,0.1%,0.4%,$1.03,1.3%,2.2%,6.8%,2.734,--0.9%,0.3%,0.1%,"$1,754",0.3%,0.9%,4.7%,$1.06,0.4%,0.8%,5.2%
Morgan Hill,city,All Homes,"$972,900",1.3%,4.1%,15.0%,9.7%,3.3%,0.6%,--0.6%,--1.2%,--11.0%,---,---,---,---,9.4%,3.9%,0.5%,1.7%,$477,1.3%,4.6%,14.7%,---,---,---,---,"$959,000",1.1%,7.3%,11.6%,"$887,400",0.8%,5.5%,9.4%,99.1%,0.9%,2.0%,16.7%,---,---,---,---,2.4%,--0.5%,--2.2%,0.9%,4.4%,2.2%,2.7%,--8.2%,$430,2.6%,5.8%,8.8%,---,---,---,---,---,---,---,---,---,---,---,---,"$3,526",0.3%,0.9%,3.2%,$1.72,--0.1%,0.1%,2.5%
Morro Bay,city,All Homes,"$633,500",0.2%,0.3%,8.2%,8.3%,1.8%,14.1%,--2.2%,0.6%,--2.1%,---,---,---,---,---,---,---,---,$441,--0.2%,0.0%,8.4%,---,---,---,---,"$734,900",--0.0%,2.2%,11.4%,---,---,---,---,81.5%,2.8%,--0.8%,7.7%,---,---,---,---,---,---,---,---,3.1%,--7.3%,--7.9%,--25.3%,$485,4.8%,6.4%,5.3%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,596",0.0%,2.0%,9.4%,$1.78,0.1%,1.7%,8.8%
Mountain View,city,All Homes,"$1,904,500",1.3%,5.4%,21.9%,15.1%,9.2%,0.4%,--0.2%,--0.5%,--20.1%,---,---,---,---,---,---,---,---,"$1,216",1.5%,5.9%,22.0%,---,---,---,---,"$1,598,000",7.3%,6.6%,23.5%,"$1,714,200",9.2%,23.0%,23.1%,99.5%,0.3%,1.0%,30.4%,---,---,---,---,---,---,---,---,3.4%,1.5%,--0.9%,--5.2%,$957,--1.6%,3.1%,15.1%,"$4,000",0.0%,10.3%,5.3%,$3.26,0.3%,4.7%,8.9%,---,---,---,---,"$4,168",0.2%,0.4%,2.2%,$2.91,0.3%,0.3%,1.6%
Murrieta,city,All Homes,"$430,200",0.3%,1.7%,9.0%,8.6%,2.4%,4.2%,--0.2%,--2.0%,0.3%,---,---,---,---,14.7%,2.4%,6.3%,4.3%,$190,0.0%,1.6%,9.2%,2.1%,0.2%,0.2%,0.2%,"$447,900",1.8%,3.0%,7.8%,---,---,---,---,92.2%,0.7%,4.6%,--0.4%,---,---,---,---,3.3%,--0.6%,--0.1%,--2.9%,6.3%,--0.6%,1.0%,--7.0%,$192,0.4%,2.6%,9.6%,"$2,100",0.2%,2.6%,5.0%,$1.00,1.0%,--3.0%,5.2%,1.945,0.3%,0.8%,1.0%,"$2,166",0.1%,0.5%,4.3%,$0.97,0.0%,0.4%,4.7%
Muscoy,city,All Homes,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,$222,0.9%,4.2%,15.6%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.6%,7.4%,11.5%,--54.0%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$1,466",0.8%,1.9%,7.2%,$1.27,0.3%,1.3%,6.2%
Napa,city,All Homes,"$654,000",0.8%,2.6%,4.5%,9.8%,2.5%,18.2%,1.5%,3.1%,10.2%,---,---,---,---,12.9%,2.3%,4.4%,--0.2%,$427,0.7%,2.2%,4.9%,3.2%,0.1%,1.2%,0.4%,"$762,500",4.6%,0.6%,2.8%,---,---,---,---,71.3%,--2.3%,--4.2%,--15.1%,---,---,---,---,2.6%,--0.1%,1.4%,0.2%,4.1%,--0.2%,--1.2%,--5.1%,$467,1.2%,4.7%,14.7%,"$2,700",--6.1%,--10.0%,8.0%,$2.14,--5.3%,--5.2%,16.5%,0.585,--0.4%,--0.0%,0.0%,"$2,777",0.7%,2.9%,9.3%,$1.88,0.7%,2.8%,6.8%
National City,city,All Homes,"$418,400",0.6%,2.6%,9.8%,11.2%,2.1%,2.3%,--0.3%,--0.1%,--1.0%,---,---,---,---,---,---,---,---,$335,0.9%,3.4%,12.4%,---,---,---,---,"$425,000",0.6%,1.4%,9.3%,---,---,---,---,96.7%,0.8%,0.9%,1.3%,---,---,---,---,4.7%,--0.7%,---,---,3.0%,5.1%,3.5%,--23.5%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$2,209",--0.0%,0.2%,5.0%,$1.79,--0.2%,--0.2%,5.2%
Nevada City,city,All Homes,"$409,300",--0.2%,0.6%,6.4%,9.1%,0.1%,22.8%,3.8%,5.7%,14.3%,---,---,---,---,10.1%,--3.6%,1.9%,--6.3%,$238,0.4%,2.6%,6.7%,---,---,---,---,"$529,000",--3.6%,4.6%,--1.1%,---,---,---,---,72.5%,--4.6%,--7.0%,--14.9%,---,---,---,---,---,---,---,---,3.2%,--4.0%,--10.4%,--29.2%,$275,4.8%,6.2%,12.7%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,794",--0.7%,--1.7%,--3.9%,$1.08,--0.2%,--1.1%,--2.4%
Newark,city,All Homes,"$889,600",1.7%,7.0%,19.2%,15.6%,5.4%,0.4%,--0.2%,--0.6%,--0.9%,---,---,---,---,---,---,---,---,$592,1.2%,5.0%,17.5%,---,---,---,---,"$874,900",6.6%,3.9%,20.7%,---,---,---,---,99.4%,0.9%,1.5%,3.4%,---,---,---,---,3.7%,2.2%,--0.3%,0.4%,3.3%,--5.7%,--9.6%,--12.9%,$547,6.0%,9.2%,17.4%,"$3,000",3.4%,3.4%,5.3%,$2.04,--3.3%,--6.1%,--0.5%,---,---,---,---,"$3,059",0.1%,--0.3%,3.3%,$2.12,0.2%,--0.1%,3.3%
Newman,city,All Homes,"$281,000",0.3%,2.5%,13.8%,14.9%,2.7%,0.9%,0.1%,--0.4%,--0.9%,---,---,---,---,---,---,---,---,$170,0.6%,3.0%,13.3%,---,---,---,---,---,---,---,---,---,---,---,---,98.5%,--0.1%,0.7%,2.6%,---,---,---,---,13.4%,3.3%,9.5%,--1.4%,4.9%,0.0%,0.7%,--11.6%,---,---,---,---,---,---,---,---,---,---,---,---,3.059,1.1%,0.4%,1.3%,"$1,411",0.9%,0.0%,5.3%,$0.89,0.5%,--0.2%,6.2%
Newport Beach,city,All Homes,"$2,140,400",0.4%,1.6%,7.6%,8.3%,4.0%,28.2%,--0.1%,0.2%,9.8%,---,---,---,---,12.6%,0.5%,6.4%,--0.7%,$895,0.3%,1.8%,5.9%,2.9%,--1.0%,0.0%,--0.4%,"$2,450,000",4.3%,3.7%,8.9%,"$1,780,200",--2.1%,--6.2%,1.3%,66.6%,0.8%,0.6%,--8.0%,---,---,---,---,1.7%,--0.0%,--0.2%,0.9%,4.4%,0.1%,3.4%,--8.8%,$982,2.1%,5.3%,12.6%,"$5,000",0.0%,0.0%,11.1%,$3.00,3.7%,4.5%,4.2%,0.243,--0.2%,--0.3%,---,"$6,216",0.1%,--0.1%,--1.5%,$3.09,0.5%,0.8%,1.4%
Newport Coast,city,All Homes,"$2,801,600",0.3%,1.7%,4.9%,7.1%,3.9%,34.3%,--5.2%,--8.6%,14.4%,---,---,---,---,15.7%,7.9%,5.9%,--0.5%,$830,0.2%,1.7%,5.1%,2.7%,0.3%,--0.7%,--0.1%,"$3,180,000",10.1%,6.0%,--9.8%,---,---,---,---,57.1%,6.0%,9.5%,--15.4%,---,---,---,---,---,---,---,---,3.8%,--1.8%,--12.3%,--19.5%,$905,3.9%,6.1%,1.3%,---,---,---,---,$2.71,--2.5%,--1.0%,4.5%,---,---,---,---,---,---,---,---,---,---,---,---
Nipomo,city,All Homes,"$596,000",--0.4%,--1.0%,4.3%,8.6%,1.2%,12.6%,--1.8%,--3.2%,3.4%,---,---,---,---,15.9%,--4.6%,--4.0%,2.2%,$314,--0.3%,0.0%,4.7%,---,---,---,---,"$691,000",--3.4%,--1.6%,--0.6%,---,---,---,---,80.7%,2.4%,5.2%,--2.3%,---,---,---,---,---,---,---,---,4.5%,0.0%,--5.4%,--4.4%,$328,1.1%,2.4%,2.5%,---,---,---,---,---,---,---,---,0.983,--0.7%,---,--0.0%,"$2,458",--0.8%,--0.6%,9.2%,$1.37,--0.6%,0.3%,9.1%
Norco,city,All Homes,"$534,700",0.4%,1.9%,10.5%,8.1%,1.7%,9.2%,1.6%,--2.7%,6.9%,---,---,---,---,18.7%,--0.1%,10.8%,5.1%,$270,0.4%,1.9%,9.8%,2.9%,0.6%,0.9%,1.4%,"$588,900",4.2%,3.0%,8.2%,"$499,700",--3.7%,--16.3%,2.1%,83.8%,--3.4%,4.8%,--10.9%,---,---,---,---,6.4%,3.0%,--3.2%,0.8%,2.8%,--6.2%,--4.7%,--36.8%,$270,--3.6%,1.0%,1.2%,---,---,---,---,---,---,---,---,---,---,---,---,"$2,419",0.0%,0.0%,3.1%,$1.28,0.2%,0.5%,4.8%
North Fair Oaks,city,All Homes,"$1,113,400",2.8%,8.5%,25.5%,16.7%,6.1%,0.7%,--0.8%,--0.2%,--3.1%,---,---,---,---,---,---,---,---,$963,1.6%,5.6%,18.7%,---,---,---,---,---,---,---,---,---,---,---,---,99.0%,1.2%,1.1%,4.9%,---,---,---,---,---,---,---,---,2.7%,0.0%,6.9%,10.7%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$3,558",0.4%,0.7%,2.8%,$3.33,0.1%,0.3%,3.6%
North Tustin,city,All Homes,"$1,090,700",0.0%,1.3%,12.2%,6.0%,3.4%,9.8%,--1.6%,--8.0%,--17.6%,---,---,---,---,10.9%,0.1%,1.8%,--7.1%,$425,0.0%,1.4%,6.8%,2.4%,--1.5%,0.3%,0.1%,"$1,299,900",--3.5%,0.2%,8.3%,"$993,700",--2.0%,0.1%,--6.7%,84.9%,3.2%,11.2%,21.0%,---,---,---,---,6.6%,4.7%,---,4.7%,3.2%,0.4%,3.3%,--21.0%,$422,--1.6%,0.7%,1.2%,---,---,---,---,---,---,---,---,1.369,--0.2%,--1.0%,---,"$3,875",0.2%,--0.3%,1.7%,$1.70,0.2%,0.5%,1.3%
Norwalk,city,All Homes,"$478,400",0.5%,1.9%,8.1%,8.7%,1.6%,1.1%,--0.3%,--0.4%,--0.4%,---,---,---,---,6.3%,--1.1%,--2.2%,--2.3%,$393,0.5%,2.1%,8.6%,2.0%,--0.6%,--0.2%,--0.1%,"$460,000",0.0%,2.2%,4.8%,"$468,600",1.3%,5.2%,6.8%,97.4%,1.2%,1.6%,0.3%,---,---,---,---,1.4%,--2.3%,--4.9%,--8.5%,3.5%,0.6%,--0.8%,--4.2%,$397,--1.9%,3.0%,12.3%,---,---,---,---,---,---,---,---,0.248,--0.2%,0.0%,--1.0%,"$2,339",0.2%,0.3%,2.6%,$1.94,0.4%,0.5%,2.5%
Novato,city,All Homes,"$831,500",1.0%,2.6%,9.1%,8.5%,2.5%,28.7%,--13.6%,--9.2%,18.6%,---,---,---,---,8.2%,1.4%,2.1%,0.3%,$459,0.9%,2.7%,7.5%,---,---,---,---,"$889,000",1.1%,12.8%,14.1%,---,---,---,---,55.7%,13.6%,9.5%,--24.7%,---,---,---,---,---,---,---,---,3.8%,--1.0%,1.3%,--12.4%,$473,2.9%,2.9%,13.2%,"$3,440",--1.7%,5.9%,7.7%,$2.22,0.1%,--0.5%,5.9%,---,---,---,---,"$3,699",0.7%,3.7%,7.3%,$2.14,0.8%,3.2%,7.3%
Nuevo,city,All Homes,"$336,100",--0.2%,--0.1%,5.6%,13.2%,0.6%,5.4%,--0.4%,--1.3%,2.0%,---,---,---,---,---,---,---,---,$173,0.6%,2.4%,6.8%,---,---,---,---,"$375,000",--3.8%,2.7%,13.6%,---,---,---,---,89.9%,--0.5%,0.8%,--4.1%,---,---,---,---,---,---,---,---,3.3%,--8.3%,--8.3%,--21.4%,$209,5.1%,9.2%,18.6%,---,---,---,---,---,---,---,---,---,---,---,---,"$1,848",--0.1%,--0.1%,6.1%,$1.04,0.0%,0.6%,6.5%
Oak Park,city,All Homes,"$839,800",0.5%,2.6%,10.9%,6.9%,3.2%,9.2%,2.5%,2.8%,0.5%,---,---,---,---,---,---,---,---,$412,0.5%,2.5%,6.7%,---,---,---,---,"$899,000",0.0%,11.0%,7.4%,"$810,500",9.7%,3.7%,15.1%,81.9%,--5.8%,--4.3%,--2.1%,---,---,---,---,3.9%,--2.5%,0.3%,--6.4%,4.4%,--0.5%,0.9%,--4.4%,$419,0.3%,1.4%,8.6%,"$3,150",--1.6%,--1.6%,--0.0%,$2.02,0.2%,0.2%,1.0%,1.059,---,0.0%,---,"$3,481",--0.6%,--1.1%,0.7%,$1.86,--0.3%,--1.0%,2.4%
